repo_full_name,owned_services,supporting_services,contract_services,canonical_status
SocioProphet/prophet-core-ledger,svc.platform.evidence-ledger,-,-,primary
SocioProphet/prophet-core-libs,-,svc.platform.core-runtime,-,primary
SocioProphet/prophet-core-ops-brief,-,svc.platform.core-runtime,-,primary
SocioProphet/prophet-core-policy,-,svc.platform.core-runtime,"svc.platform.cybernetic-governance,svc.platform.policy-guardrail,svc.product.scope-d",primary
SocioProphet/prophet-core-query,-,svc.platform.core-runtime,"svc.platform.query-search,svc.product.search-feed",primary
SocioProphet/prophet-core-scaffolder,-,svc.platform.core-runtime,-,primary
SocioProphet/prophet-domain-gaia-curation-vault,-,svc.product.gaia,-,primary
SocioProphet/prophet-domain-gaia-ontology,-,"svc.platform.ontology-semantics,svc.product.gaia",svc.product.gaia,primary
SocioProphet/prophet-platform,svc.platform.core-runtime,svc.product.prophet-lattice,-,primary
SocioProphet/prophet-platform-fabric-mlops-ts-suite,-,"svc.platform.compute-mesh,svc.product.model-training",svc.product.model-training,primary
SocioProphet/prophet-platform-standards,svc.workspace.standards,-,"svc.workspace.controller,svc.workspace.developer-cli",primary
SocioProphet/regis-entity-graph,svc.platform.identity-trust,-,-,primary
SocioProphet/semantic-serdes,-,"svc.platform.protocol-contract,svc.platform.ontology-semantics,svc.product.prophet-lattice",-,primary
SocioProphet/sherlock-search,"svc.platform.query-search,svc.product.search-feed",svc.substrate.lampstand-search,-,primary
SocioProphet/slash-topics,-,"svc.platform.query-search,svc.product.search-feed",-,primary
SocioProphet/socbase,svc.platform.identity-trust,"svc.substrate.agent-machine,svc.platform.cybernetic-governance",-,primary
SocioProphet/socioprophet,"svc.product.workroom,svc.app.socioprophet-ui",-,svc.app.socioprophet-ui,primary
SocioProphet/socioprophet-agent-standards,-,svc.workspace.standards,"svc.workspace.inventory,svc.platform.agent-runtime,svc.product.workroom",primary
SocioProphet/socioprophet-standards-knowledge,-,"svc.workspace.standards,svc.platform.ontology-semantics","svc.platform.ontology-semantics,svc.product.academy",primary
SocioProphet/socioprophet-standards-storage,-,svc.workspace.standards,-,primary
SocioProphet/sociosphere,svc.workspace.controller,svc.platform.cybernetic-governance,-,primary
SocioProphet/sourceos-workspace,-,"svc.workspace.inventory,svc.product.workroom",-,primary
SocioProphet/speechlab,-,svc.managed.labs,-,primary
SocioProphet/superconscious,svc.product.model-training,svc.platform.model-governance,-,primary
SocioProphet/synapseiq,-,svc.platform.query-search,-,primary
SocioProphet/systems-learning-loops,-,svc.product.academy,-,primary
SocioProphet/tritrpc-notes-archive,-,svc.platform.protocol-contract,-,primary
SocioProphet/workspace-inventory,svc.workspace.inventory,-,-,primary
SocioProphet/yang-mills,svc.product.research-program,-,-,primary
SourceOS-Linux/BearBrowser,"svc.substrate.browser-surface,svc.app.bearbrowser",svc.product.search-feed,"svc.substrate.browser-surface,svc.app.bearbrowser",primary
SourceOS-Linux/TurtleTerm,"svc.substrate.operator-terminal,svc.app.turtleterm",svc.workspace.developer-cli,"svc.substrate.operator-terminal,svc.app.turtleterm",primary
SourceOS-Linux/agent-machine,svc.substrate.agent-machine,svc.platform.compute-mesh,svc.substrate.agent-machine,primary
SourceOS-Linux/agent-term,-,"svc.substrate.operator-terminal,svc.app.turtleterm",-,primary
SourceOS-Linux/bsd-proof-program,-,svc.product.research-program,-,primary
SourceOS-Linux/homebrew-tap,svc.substrate.package-distribution,-,-,primary
SourceOS-Linux/nix-openclaw,-,svc.substrate.package-distribution,-,primary
SourceOS-Linux/openclaw,-,svc.substrate.package-distribution,-,primary
SourceOS-Linux/sourceos-boot,svc.substrate.boot-release,svc.substrate.image-build,-,primary
SourceOS-Linux/sourceos-devtools,-,svc.substrate.image-build,-,primary
SourceOS-Linux/sourceos-model-carry,-,"svc.substrate.local-runtime,svc.platform.model-governance,svc.product.model-training",-,primary
SourceOS-Linux/sourceos-shell,svc.substrate.local-runtime,svc.substrate.lampstand-search,-,primary
SourceOS-Linux/sourceos-spec,svc.substrate.image-build,-,"svc.substrate.image-build,svc.substrate.boot-release,svc.substrate.local-runtime,svc.substrate.package-distribution",primary
SourceOS-Linux/sourceos-syncd,-,"svc.substrate.boot-release,svc.substrate.local-runtime",-,primary
